500	0	0	0
490	0	0	0
480	0	0	0
470	0	0	0
460	0	0	0
450	0	0	0
440	2	1	0
430	3	2	0
420	3	3	0
410	8	3	1
400	9	7	3
390	16	9	3
380	23	18	6
370	39	25	8
360	61	43	15
350	94	65	27
340	139	98	48
330	199	146	88
320	261	215	122
310	332	273	177
300	394	345	212
290	504	432	277
280	601	549	351
270	673	593	447
260	728	672	573
250	788	737	693
240	892	876	804
230	916	917	874
220	947	957	945
210	976	983	983
200	999	993	1014
190	994	995	1020
180	1004	989	1021
170	991	1030	1014
160	1025	1040	1018
150	1014	1030	994
140	1031	1010	987
130	1010	990	979
120	991	986	983
110	977	987	983
100	974	991	972
90	985	988	994
80	997	993	980
70	998	985	987
60	994	990	973
50	997	994	980
40	989	991	981
30	1002	999	986
20	996	997	981
10	1005	1006	979

