500	0	0	0
490	0	0	0
480	0	0	0
470	0	0	0
460	0	0	0
450	0	0	0
440	0	0	0
430	0	0	0
420	0	0	0
410	1	0	0
400	5	4	0
390	10	6	0
380	17	12	4
370	33	21	8
360	47	35	13
350	76	51	25
340	107	86	38
330	140	117	60
320	191	156	97
310	270	229	146
300	356	309	217
290	475	442	372
280	586	539	571
270	718	707	777
260	820	809	899
250	909	905	932
240	955	945	968
230	964	963	975
220	986	980	988
210	994	998	996
200	1001	1003	1017
190	996	1000	1023
180	1017	1005	1016
170	1016	1012	1016
160	1028	1031	1016
150	1041	1035	1034
140	1051	1030	1037
130	1042	1042	1039
120	1044	1045	1043
110	1043	1041	1042
100	1037	1037	1044
90	1033	1023	1040
80	1028	1027	1037
70	1025	1027	1032
60	1026	1020	1034
50	1021	1008	1028
40	1009	1010	1022
30	1006	1013	1015
20	1003	1004	1015
10	1009	1014	1012

